Over the past week, I’ve introduced or cosponsored three criminal justice reform bills: https://www.lee.senate.gov/public/index.cfm/press-releases?ID=95C42A54-3365-471F-8D43-6CFEFFD1C3E5 …	
President Obama’s #netneutrality scheme threatens Internet innovation. Today Chairman Pai took first step to remove the regulatory threat.	#netneutrality
I commend @realDonaldTrump for beginning a review of past monument designations. I'm confident he will find need to Rescind #BearsEars.	#BearsEars
If we want better policy coming out of Washington, we need to improve the process. This will help.https://twitter.com/senrobportman/status/856580093967257601 …	
A current example of how this backfires can be seen taking place in Eastern Europe: https://www.lee.senate.gov/public/index.cfm/speeches?ID=BFCC5CDB-B0A4-4BA5-9C33-C2CBD1449819 …https://twitter.com/Heritage/status/856873119209967618 …	
Mike Lee joins @RandPaul on bill requiring congressional approval for Syria-type military action: http://www.thespectrum.com/story/news/2017/04/11/mike-lee-joins-rand-paul-bill-requiring-congressional-approval-syria-type-military-action/100328330/ … via @SpectrumNews	
Judge Gorsuch is one of the most qualified Supreme Court nominees in our nation’s history. I was honored to vote to confirm him.pic.twitter.com/e5XvKFNUL6	
If the US is to increase use of military force in Syria, we should follow the Constitution and seek the proper authorization from Congress.	
We heard a fair amount of pounding today. The fact is Judge #Gorsuch is qualified. I'm proud to vote for his confirmation. #GorsuchVotepic.twitter.com/HFBk7T5uBE	#Gorsuch #GorsuchVotepic
Judge Gorsuch will be confirmed. Period. https://www.facebook.com/senatormikelee/videos/1446885548676467/ …	
I promised the people of Utah I would do everything I can to repeal #Obamacare. The House bill does not do that. I am a no. #FullRepeal	#Obamacare #FullRepeal
Judge #Gorsuch has the resume of a Supreme Court Justice: https://www.lee.senate.gov/public/index.cfm/speeches?ID=9C0E173E-8310-4582-AB7A-4A584E54CA89 …	#Gorsuch
Our confidence in the judiciary depends entirely on judges like Judge Gorsuch, who are independent and focused on getting the law right.	
I've argued case before Judge Gorsuch as an attorney. I know from personal experience that he is one of the best: https://www.lee.senate.gov/public/index.cfm/speeches?ID=9C0E173E-8310-4582-AB7A-4A584E54CA89 …	
It should be an exciting week next week as the Senate begins the process to confirm Judge Gorsuch to the Supreme Court.pic.twitter.com/E6MpDmiUis	
Political favoritism from our missions around the world is unacceptable and endangers bilateral relationships. https://www.lee.senate.gov/public/index.cfm?p=press-releases&id=B5BD5596-25C8-495F-A8B1-A4D248649C04 …	
We Must Keep Our Promise to Fully Repeal Obamacare http://dailysign.al/2mkjQ96  via @DailySignal	
#Obamacare is compromising the structural integrity of our healthcare system. Repeal it first. Then we can fix the damage to the system.pic.twitter.com/VOfASaYmpJ	#Obamacare
This isn't the #Obamacare repeal bill we’ve been waiting for. It's a missed opportunity and step in wrong direction: https://www.lee.senate.gov/public/index.cfm?p=press-releases&id=CA7B524E-81D4-4D09-AA99-E50C874865AB …	#Obamacare
Let's end this contradictory Obama-era thinking. Congress should consider measures like a new AUMF and Military Humanitarian Operations Act.https://twitter.com/SenMikeLee/status/839132633053429760 …	
Trump’s Historic Chance to Dismantle the Administrative State http://dailysign.al/2mwFZnX  via @DailySignal	
Federalism Awakens! https://www.facebook.com/senatormikelee/photos/a.182532975111737.42198.178081365556898/1419203734777982/?type=3&theater …pic.twitter.com/3RzQxy3chQ	
AG #Sessions has said he will recuse himself from investigations when warranted. I trust him to make this call:https://youtu.be/vmgA3MMdbMw 	#Sessions
2 yrs ago, GOP Congress voted to repeal #Obamacare. That 2015 repeal language should be the minimum. #FullRepeal @SenTedCruz @SenRandPauI	#Obamacare #FullRepeal
For those who think we should try to repair #Obamacare:pic.twitter.com/dMHwygjNxu	#Obamacare
Hey @SenTedCruz, if you need help preparing for your #Obamacare debate tonight with @SenSanders, you can borrow this book. #CNNDebateNightpic.twitter.com/hJgC3kNfHW	#Obamacare #CNNDebateNightpic
I agree that Congress needs to get back in charge of its own spending, but that does not mean "Bring back earmarks"http://dailysignal.com/2017/02/01/conservative-lawmakers-warn-congress-not-to-reinstate-earmarks/ …	
I explained to @chucktodd why Judge Gorsuch will be confirmed: http://www.msnbc.com/mtp-daily/watch/sen-lee-not-all-executive-orders-are-bad-867911747672 … @MeetThePress	
I applaud the President for his excellent choice, and I look forward to enthusiastically working toward Judge Gorsuch’s confirmation.	
This vacancy was a central to 2016 campaign & the people have spoken by electing President Trump and returning a Republican Senate majority.	
Judge Gorsuch is a judge’s judge, who is well within the mainstream and always decides cases based on what the law says.	
Judge Gorsuch's opinions are well-reasoned & brilliantly written. He has enriched the Tenth Circuit’s jurisprudence in a number of areas.	
Judge Gorsuch is a prepared, thoughtful, and careful jurist, who has demonstrated a strong commitment to textualism and originalism.	
I’ve had the privilege of arguing before Judge Gorsuch and he is extremely impressive.	
My fellow members of the Judiciary Committee and I are ready to get to work to get Judge Gorsuch confirmed.pic.twitter.com/MnHZWYouSA	
Judge Gorsuch is a tremendous pick for the Supreme Court and I look forward to doing everything I can to ensure he is confirmed by Senate.	
I am grateful for the millions of Americans that have the courage to choose life: http://www.nationalreview.com/article/444264/march-life-one-mothers-story … #MarchForLife	#MarchForLife
I'm enjoying a great speech by U.K. Prime Minister Theresa May. I wonder if she will tell us it's time to Make America Great Britain Again.pic.twitter.com/Z3qDITTkb8	
"We have tools at our disposal to get whoever is nominated to fill Justice Scalia's place confirmed." https://youtu.be/AjCRyj4NMak  @seanhannity	
I applaud the president for reapplying long-standing #prolife foreign aid restriction: http://www.lee.senate.gov/public/index.cfm?p=press-releases&id=A3D10966-BF8C-4711-96B4-B413FD0B62D7 … #MexicoCityPolicy	#prolife #MexicoCityPolicy
Congratulations President Trump! #Inauguration2017	#Inauguration2017
The Mormon Tabernacle Choir's performance of America the Beautiful was inspiring. I'm grateful they could be here. #Inauguration2017	#Inauguration2017
