Staff Sgt. Black, Staff Sgt. Johnson, and Staff Sgt. Wright's sacrifices will not be forgotten.	
Congratulations to Judge Neil #Gorsuch, our next #SupremeCourt Justice. #SCOTUSpic.twitter.com/0wtJnJY5wD	#Gorsuch #SupremeCourt #SCOTUSpic
My statement following the U.S. military’s airstrikes in Syria.pic.twitter.com/hG560Tue1t	
(7/7) Freedom and value of human life are foreign concepts to despots like Vladimir Putin.	
(6/7) Russia meddles in elections of the U.S. and other Western democracies.	
(4/7) The sad truth is Putin doesn’t care and never will. He’s former KGB. Look at how he runs his own nation as a dictator.	
(2/7) Assad has committed countless atrocities against his own people, and Russia has given his regime cover every step of the way.	
(1/7) Russia under Putin has supported Syria’s murderous dictator Bashar al-Assad.	
Judge Gorsuch is a supremely qualified and mainstream nominee and I urge Senate Democrats to allow an up-or-down vote on his confirmation.pic.twitter.com/SKJWaVt6GC	
Congratulations @UNC_Basketball! #nationalchampions #goheelshttps://twitter.com/sportscenter/status/849105001511350273 …	#nationalchampions #goheelshttps
Good luck to @UNC_Basketball tonight! #NationalChampionship #GoHeelshttps://twitter.com/UNC_Basketball/status/848867691599249409 …	#NationalChampionship #GoHeelshttps
I'm joining @autismspeaks to #LightItUpBlue for #WorldAutismAwarenessDay!pic.twitter.com/uiO9NrVvTD	#LightItUpBlue #WorldAutismAwarenessDay
I'm fighting to ensure #veterans affected by toxins at #CampLejeune get the care they need and deserve. http://buff.ly/2nECrOw pic.twitter.com/8UKN62nWQG	#veterans #CampLejeune
I have been an advocate for investing in Alzheimer’s research & supporting caregivers and will continue to support efforts to #EndALZ.pic.twitter.com/lq7BbxMtCb	#EndALZ
Judge Gorsuch interprets the law faithfully, thoughtfully & consistently. I look forward to confirming him soon. #ConfirmGorsuch #SCOTUShttps://twitter.com/SenateGOP/status/847814175611015168 …	#ConfirmGorsuch #SCOTUShttps
Will you join me on Sunday, April 2nd to #LightItUpBlue with @AutismSpeaks? #AutismAwarenesspic.twitter.com/3wwgQHuxSq	#LightItUpBlue #AutismAwarenesspic
A bright young group of @NorthCarolina4H delegates visited my office this week.pic.twitter.com/JUXlBvgUll	
My statement on the North Carolina General Assembly's vote to repeal House Bill 2. #NCGA #ncpol #HB2pic.twitter.com/dR6yp0es3b	#NCGA #ncpol #HB2pic
My staff attended a ribbon cutting for @biomerieux_inc new production line in Durham. Its growth will increase innovation & help save lives.pic.twitter.com/v9qlCI4qB6	
Pray for the safety of the @82ndABNDiv and all of our #troops deployed.https://twitter.com/MilitaryTimes/status/846036877559971840 …	#troops
