Read my piece published in the @washingtonpost abt Facebook political ads & how to prevent Russians from buying themhttps://www.washingtonpost.com/opinions/how-to-stop-russian-robots-from-attacking-the-next-election/2017/10/02/f8197782-a78b-11e7-92d1-58c702d2d975_story.html …	
Talked with @maddow about the Senate healthcare bill and Attorney General Sessions. Watch and share my interview:http://www.msnbc.com/rachel-maddow/watch/democrats-wait-for-struggling-gop-to-produce-a-health-bill-1010915395870 …	
Transgender Americans serving our country in the military should be thanked for their service, not attacked!	
This isn't over. We can still keep tens of millions of Americans from losing healthcare. Can't give up - those families are counting on us.	
MN's former Senator David Durenberger has a lot of important things to say about today's vote.https://www.usatoday.com/story/opinion/2017/07/24/gop-senators-dont-approve-mystery-health-bill-david-durenberger-column/502976001/ …	
Last night I spoke on Senate floor about why we can't take healthcare from millions. Should work on bipartisan solutions instead.	
Americans - like these Minnesotans I met with yesterday - deserve a better deal on prescription drug costs.http://minnesota.cbslocal.com/2017/07/23/senator-amy-klobuchar-diabetes-insulin-cost …	
Spoke w doctors & MN families abt the rising price of insulin. Need to pass my bipartisan bills & curb costs on life-saving drugs.	
Finally! Bipartisan support House&Senate:Congress Reaches Deal on Russia Sanctions, Creating Tough Choice for Trumphttps://www.nytimes.com/2017/07/22/us/politics/congress-sanctions-russia.html?smprod=nytcore-iphone&smid=nytcore-iphone-share …	
Ran into @Karin_alaniz of MN! 3yrs ago she was diagnosed w/glioblastoma&she's doing great! She sent her 1st tweet to you @SenJohnMcCain xoxpic.twitter.com/NYHFeF1PmM	
Today Paul Wellstone would have turned 73. He & Sheila dedicated their lives to helping our state & country. They will always be missed.	
These public hearings will be essential to learning everything that happened & making sure people know the truth.http://www.politico.com/story/2017/07/19/senate-judiciary-schedules-hearing-with-trump-jr-manafort-240732 …	
My thoughts & prayers are with my friend @SenJohnMcCain. He is a fighter & we are all pulling for him.	
No evidence of widespread voter fraud, lots of evidence of foreign attempts to hack into our election infrastructure. #ShamVotingCommission	#ShamVotingCommission
Breaking: 3 Repub Sens already at no. All women! Plan C’ on Obamacare, Repeal Now and Replace Later, Has Collapsedhttps://www.nytimes.com/2017/07/18/us/politics/republicans-obamacare-repeal-now-replace-later.html?smprod=nytcore-iphone&smid=nytcore-iphone-share …	
Time to work together on bipartisan solutions - like my bills to curb skyrocketing Rx drug prices.pic.twitter.com/fBfJBe8gO9	
On floor w/ @SenatorShaheen @timkaine & @TomCarperforDE re how we can work together on bills to improve ACA. Work w/us Republicans!	
