Wrote more about this in @realclearpolicy:http://www.realclearpolicy.com/articles/2017/09/27/reinventing_washingtons_broken_budget_process_110369.html …	
Had fun interviewing w/ @wsbtv before #JointSession. Tune in at 6:00 PM. @JoeFloccari @CraigLuciepic.twitter.com/I6xdTlyXb7	#JointSession
. @POTUS' EO to roll back the EPA's overreach is a resounding victory for #Georgia & our country. #gapolpic.twitter.com/ky3unQpTNo	#Georgia #gapolpic
Washington's budget process is broken. @POTUS is moving at a business pace, not a gov't pace, to fix it.pic.twitter.com/zVyt1XJmiW	
Looking forward to working w/ @WilburRoss to make America competitive again. @CommerceGovpic.twitter.com/d50eF831tZ	
Great meeting w/ Atlanta Vietnam Veterans Business Assoc. Our vets deserve best care possible. Look fwd to working to hold VA accountable.pic.twitter.com/rpwZYpxvmx	
Informative meeting w/ GA doctors today. Doctors & patients agree there is room for improvement re: healthcare for Georgians & Americans.pic.twitter.com/4N4xKCzgAf	
Great to meet w/ Georgians @ the State Capitol today. #gapolpic.twitter.com/mwCnh4SUKD	#gapolpic
Lt. Gen. McMaster's proven track record & extensive knowledge of our military will make him a great National Security Advisor.pic.twitter.com/sBYXqhACro	
Look forward to working w/ @ScottPruittOK to return sanity to #EPA. #gapolpic.twitter.com/7WZgYDIXQz	#EPA #gapolpic
The so-called "Border-Adjustment Tax" would hammer consumers & economic growth. Last thing we need is bigger gov't. #gapolpic.twitter.com/lx22D7v6eO	#gapolpic
Obama Admin’s attempt to prohibit law-abiding Americans from exercising their 2nd Amdt rights is blatant overreach. http://www.perdue.senate.gov/news/press-releases/senators-isakson-perdue-vote-to-protect-second-amendment-rights …pic.twitter.com/gRPtMpNoqm	
Happy Valentine’s Day to my beautiful wife, Bonnie – I don’t need a holiday to remind me how lucky I am to have you by my side.pic.twitter.com/n1Im7SJ5ST	
ICYMI: My op-ed in @WashTimes on why the “border adjustment tax” is a bad idea:http://www.washingtontimes.com/news/2017/feb/9/tax-code-must-be-changed-for-free-enterprise-syste/ …	
After meeting w/ Judge Gorsuch, it's abundantly clear he's a principled jurist who will put Constitution & rights of Americans first #SCOTUSpic.twitter.com/1Qm9JmmaUr	#SCOTUSpic
Congratulations to my good friend, @RepTomPrice, our new Secretary of @HHSGov! There is no one more qualified to serve in this position.	
Proud that #Senate voted to confirm @jeffsessions as the next Attorney General of the U.S.pic.twitter.com/N9xwqW6DM4	#Senate
Thank you to Pres. Morehead & @KirbySmartUGA for this surprise. Though a Yellow Jacket, I'm proud of all GA schools #GoDawgs @universityofgapic.twitter.com/3UxWDc9ZUL	#GoDawgs
. @SenTomCotton & I held a press conference to share rational changes to legal immigration. #RAISEAct http://www.perdue.senate.gov/news/press-releases/senators-perdue-cotton-propose-rational-changes-to-legal-immigration …pic.twitter.com/N8LB3FbJ7q	#RAISEAct
Commemorating the life & leadership of President Ronald Reagan on his birthday. #gapolpic.twitter.com/5zDtRElslF	#gapolpic
RISE UP ATLANTA! #inbrotherhood #SuperBowl	#inbrotherhood #SuperBowl
Today’s action by the @WhiteHouse will finally begin to put pressure on #Iran, end provocative & destabilizing behavior in the Middle East.pic.twitter.com/DZU0ZPyNxM	#Iran
Betsy DeVos is a tireless advocate for children & I look forward to supporting her confirmation.pic.twitter.com/qt5GY1YclG	
Inspiring morning at the #nationalprayerbreakfastpic.twitter.com/vFDAnYgE0k	#nationalprayerbreakfastpic
